Date,Age,Organ,All DSA States,State unassigned,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Puerto Rico
0,11-17 Years,Pancreas,8078,0,133,124,49,749,188,35,0,133,469,205,17,390,209,104,246,108,223,0,112,188,241,291,71,134,96,52,0,129,28,265,256,0,371,83,117,492,0,133,0,291,566,117,0,111,203,1,305,43
0,11-17 Years,Lung,4896,0,94,89,49,481,95,16,0,61,296,137,3,222,120,58,138,81,142,0,69,90,160,137,43,139,40,30,0,59,24,138,136,0,208,66,52,281,0,84,0,167,497,54,0,88,121,1,102,28
0,11-17 Years,Intestine,473,0,4,4,3,23,6,2,0,5,69,11,0,19,45,3,16,3,17,0,8,5,19,13,8,10,8,7,0,4,3,21,10,0,21,3,1,35,0,2,0,20,20,5,0,7,2,0,6,5
0,18-34 Years,All Donors,128388,1,2414,2757,930,14305,2186,992,79,1946,6814,3447,344,6060,2263,937,1934,1442,2283,160,2473,3832,4411,4028,571,2565,819,631,93,2396,643,7812,3548,159,5848,1274,1503,7748,155,1399,118,3706,10509,1762,81,2583,2551,142,2918,816
0,18-34 Years,Kidney,121184,0,2367,2653,907,13321,1998,926,32,1860,6523,3261,339,5564,2185,916,1874,1392,2175,160,2271,3521,4236,3764,553,2433,721,599,93,2346,626,7040,3375,159,5551,1225,1479,7023,155,1355,118,3572,10074,1684,81,2420,2499,142,2829,787
0,18-34 Years,Liver,64101,1,1059,1339,521,7024,1205,395,47,787,4165,1848,177,2494,1302,471,1407,880,1335,0,1074,1897,1843,1434,435,1226,469,460,0,987,378,3113,1906,0,2740,797,798,4562,0,921,0,2012,5297,787,0,1135,1408,11,1461,493
0,18-34 Years,Heart,39558,0,666,796,356,4577,689,230,0,489,2531,1278,28,1363,863,298,943,557,829,0,548,1108,1127,814,280,724,262,297,0,663,244,1658,1285,0,1596,498,496,2483,0,655,0,1410,3747,468,0,675,855,11,903,258
0,18-34 Years,Pancreas,25775,0,382,452,189,2581,428,114,0,462,1605,631,72,1252,541,221,708,375,583,0,518,626,653,884,178,393,198,142,0,467,98,985,915,0,1281,231,320,1883,0,413,0,858,1698,318,0,328,589,4,1002,197
0,18-34 Years,Lung,19570,0,338,439,166,2241,312,67,0,240,1231,581,11,759,483,148,523,267,424,0,348,449,657,424,139,519,122,151,0,251,81,508,703,0,820,242,199,1394,0,340,0,613,1876,191,0,331,410,1,441,130
0,18-34 Years,Intestine,891,0,6,11,22,28,6,5,0,16,98,20,0,51,98,7,30,9,13,0,10,22,38,36,9,12,7,3,0,3,4,28,33,0,53,3,0,81,0,5,0,42,37,2,0,10,8,0,7,18
0,35-49 Years,All Donors,140785,0,2605,2641,836,15196,2337,1198,91,2124,7028,3748,454,5849,2386,1140,1718,1459,2075,325,2937,4838,5083,5341,550,2713,926,682,220,3109,583,9179,3770,251,6612,1444,1824,9039,240,1489,156,3717,10560,1713,89,3068,2968,179,3627,668
0,35-49 Years,Kidney,132588,0,2526,2521,811,14228,2168,1146,68,2038,6672,3474,439,5448,2286,1115,1631,1399,1918,325,2753,4443,4853,5035,517,2494,851,643,220,3033,567,8334,3563,251,6302,1378,1795,8238,240,1413,156,3510,9966,1645,89,2864,2903,179,3520,620
0,35-49 Years,Liver,53756,0,798,953,405,5752,897,325,23,757,3381,1554,221,1998,1109,392,1049,716,1055,0,861,1818,1681,1327,372,950,367,439,0,958,251,3035,1477,0,2306,655,671,4273,0,861,0,1724,4160,484,0,1002,1079,5,1279,336
0,35-49 Years,Heart,21934,0,258,374,156,2447,378,169,0,297,1357,602,22,767,510,167,480,288,350,0,306,810,692,516,131,323,111,199,0,467,110,1122,716,0,933,289,300,1611,0,367,0,790,1857,235,0,367,456,5,541,58
0,35-49 Years,Pancreas,10616,0,79,138,66,946,189,45,0,234,562,147,36,612,254,120,274,139,176,0,216,364,287,610,53,137,103,51,0,226,30,487,367,0,622,54,118,888,0,153,0,311,448,90,0,95,222,1,640,26
0,35-49 Years,Lung,12019,0,145,221,58,1505,148,60,0,202,759,320,11,469,256,97,267,145,227,0,233,334,487,293,65,334,53,115,0,168,31,348,406,0,536,135,119,893,0,213,0,382,1112,86,0,201,243,0,287,55
0,35-49 Years,Intestine,312,0,2,3,6,9,7,3,0,8,42,7,0,15,24,2,6,1,3,0,6,4,11,23,2,2,0,0,0,3,3,17,10,0,15,0,0,37,0,1,0,18,10,0,0,7,2,0,1,2
0,50-64 Years,All Donors,100783,0,1631,1790,483,10945,1556,905,26,1615,5720,2718,353,4205,1393,761,1479,998,1396,180,2186,3642,3644,3520,494,1843,691,670,130,2503,401,6905,2605,145,4294,1068,1247,7160,178,1160,89,2348,6911,934,44,2010,2126,78,2848,755
0,50-64 Years,Kidney,94458,0,1523,1710,462,10336,1488,864,26,1509,5294,2429,344,3874,1319,736,1364,949,1246,180,2062,3422,3470,3352,451,1685,658,613,130,2403,382,6344,2450,145,4058,1023,1226,6641,178,1089,89,2180,6382,889,44,1914,2082,78,2720,645
0,50-64 Years,Liver,46097,0,772,725,280,5022,590,245,0,759,3148,1420,182,1887,760,330,975,602,867,0,758,1403,1425,1077,356,911,298,470,0,973,192,2653,1189,0,1857,502,528,3938,0,780,0,1318,3295,348,0,759,829,4,1158,512
0,50-64 Years,Heart,6175,0,33,75,32,833,94,59,0,82,324,133,4,236,121,57,131,83,55,0,89,264,231,208,41,58,33,58,0,136,24,338,252,0,235,61,81,588,0,109,0,161,352,64,0,117,145,1,173,4
0,50-64 Years,Pancreas,2490,0,7,12,12,169,52,4,0,47,84,9,1,265,38,34,77,31,19,0,28,102,66,249,6,29,35,4,0,67,7,108,58,0,143,8,27,313,0,16,0,60,61,12,0,14,40,0,176,0
0,50-64 Years,Lung,6835,0,53,100,31,917,65,30,0,145,438,213,2,345,138,31,140,67,102,0,133,205,274,161,33,189,39,62,0,115,13,210,253,0,297,56,61,548,0,122,0,177,552,37,0,127,126,0,183,45
0,50-64 Years,Intestine,61,0,0,2,1,2,4,0,0,3,6,0,0,11,0,0,2,0,1,0,1,1,1,14,0,0,0,0,0,1,0,1,1,0,2,0,1,3,0,0,0,1,0,0,0,1,1,0,0,0
0,65 +,All Donors,21284,0,278,346,74,1968,190,153,1,444,1566,623,44,915,189,126,440,132,195,29,458,747,576,697,132,441,114,164,6,480,57,2000,515,13,671,174,191,2313,9,279,7,526,1404,121,3,364,282,4,524,299
0,65 +,Kidney,16849,0,233,306,60,1737,165,136,1,374,1080,437,43,666,174,111,306,117,134,29,416,666,486,608,101,277,100,120,6,428,49,1310,415,13,588,147,183,1904,9,236,7,437,921,110,3,331,254,4,442,169
0,65 +,Liver,15031,0,188,221,65,1225,129,70,0,332,1226,475,11,670,137,86,411,106,157,0,238,478,352,357,103,336,84,137,0,290,46,1466,344,0,437,129,102,1884,0,240,0,430,1017,78,0,227,157,0,330,260
0,65 +,Heart,128,0,0,0,0,22,4,4,0,1,2,0,0,11,2,0,1,2,0,0,0,3,3,7,0,1,1,0,0,1,0,5,7,0,10,1,0,15,0,4,0,3,6,1,0,4,1,0,6,0
0,65 +,Pancreas,106,0,0,0,0,16,6,0,0,2,1,0,0,17,0,0,3,2,2,0,0,3,1,15,0,4,1,0,0,1,0,5,3,0,2,0,1,17,0,1,0,1,1,0,0,0,1,0,0,0
0,65 +,Lung,527,0,0,3,3,78,6,4,0,19,32,17,0,31,11,1,11,2,5,0,11,24,37,9,0,19,2,5,0,2,0,23,23,0,21,3,2,52,0,11,0,7,28,0,0,7,6,0,11,1
0,65 +,Intestine,6,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,All Ages,All Donors,15330,0,227,332,76,1436,284,55,8,226,913,440,43,628,281,156,294,186,252,15,193,500,431,374,89,272,94,142,12,322,77,881,471,9,699,204,204,1091,14,195,20,490,1400,227,0,334,341,3,295,94
2021,All Ages,Kidney,14433,0,215,326,75,1340,271,53,6,209,877,417,43,592,267,150,281,182,242,15,172,476,417,356,82,258,89,128,12,314,74,817,445,9,647,201,201,982,14,190,20,463,1313,214,0,299,329,3,282,65
2021,All Ages,Liver,7650,0,136,192,56,728,132,2,2,100,554,215,13,271,185,63,164,104,166,0,114,207,210,119,65,144,44,105,0,116,48,314,220,0,367,93,105,653,0,90,0,268,661,93,0,137,186,0,130,78
2021,All Ages,Heart,2948,0,46,81,22,291,47,0,0,26,203,90,1,119,70,25,75,42,75,0,23,93,78,44,27,55,17,37,0,40,15,112,103,0,149,38,48,153,0,38,0,143,285,31,0,42,85,0,62,17
2021,All Ages,Pancreas,1006,0,22,26,10,73,18,0,0,21,64,30,2,47,26,9,25,9,23,0,15,32,32,15,12,19,7,7,0,23,6,40,46,0,49,16,10,78,0,9,0,38,60,9,0,18,25,0,24,11
2021,All Ages,Lung,1985,0,38,53,11,216,32,0,0,26,117,66,1,89,56,13,58,20,34,0,26,51,62,29,22,34,11,27,0,24,2,49,65,0,93,42,25,95,0,28,0,69,259,9,0,29,42,0,54,8
2021,All Ages,Intestine,71,0,1,2,1,2,1,0,0,0,15,1,0,5,6,2,3,2,2,0,1,3,1,1,0,0,0,0,0,0,2,3,1,0,7,0,1,0,0,1,0,2,1,0,0,1,1,0,1,1
2021,< 1 Year,All Donors,99,0,2,1,1,10,1,0,0,0,4,2,0,9,2,1,4,0,4,0,0,0,1,2,0,2,1,4,0,0,0,4,3,0,2,1,2,6,0,2,0,9,6,3,0,0,6,0,4,0
2021,< 1 Year,Kidney,94,0,1,1,1,10,1,0,0,0,4,2,0,9,2,0,4,0,4,0,0,0,1,2,0,2,1,4,0,0,0,4,2,0,2,1,2,6,0,1,0,8,6,3,0,0,6,0,4,0
2021,< 1 Year,Liver,35,0,1,0,1,3,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,2,0,0,0,2,2,0,0,1,1,3,0,1,0,3,4,0,0,0,1,0,2,0
2021,< 1 Year,Heart,55,0,0,0,1,5,0,0,0,0,3,2,0,5,0,1,2,0,4,0,0,0,0,1,0,0,1,1,0,0,0,2,3,0,2,1,1,4,0,1,0,5,4,0,0,0,2,0,4,0
2021,< 1 Year,Pancreas,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2021,< 1 Year,Lung,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,< 1 Year,Intestine,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2021,1-5 Years,All Donors,163,0,0,2,0,14,1,0,0,5,23,3,1,5,5,1,4,2,3,0,1,6,4,1,2,5,1,2,0,3,0,4,5,0,8,2,2,14,0,0,0,5,12,2,0,4,5,0,1,5
2021,1-5 Years,Kidney,160,0,0,2,0,14,1,0,0,5,21,2,1,5,5,1,4,2,3,0,1,6,4,1,2,5,1,2,0,3,0,4,5,0,8,2,2,14,0,0,0,5,12,2,0,4,5,0,1,5
2021,1-5 Years,Liver,112,0,0,2,0,8,1,0,0,2,14,3,0,4,5,1,3,2,3,0,1,3,3,1,2,3,0,2,0,1,0,4,2,0,7,0,2,10,0,0,0,4,10,0,0,1,4,0,0,4
2021,1-5 Years,Heart,105,0,0,2,0,7,1,0,0,3,15,1,0,4,5,1,3,2,3,0,1,3,3,1,1,3,0,2,0,0,0,4,3,0,6,1,2,7,0,0,0,4,10,0,0,2,4,0,0,1
2021,1-5 Years,Pancreas,9,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2021,1-5 Years,Lung,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2021,1-5 Years,Intestine,17,0,0,0,0,0,0,0,0,0,5,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2021,6-10 Years,All Donors,70,0,1,2,1,7,0,0,0,0,9,2,0,4,0,1,0,0,1,0,0,1,4,1,1,1,3,0,0,1,0,2,1,0,2,1,1,7,0,4,0,2,2,2,0,1,3,0,1,1
2021,6-10 Years,Kidney,70,0,1,2,1,7,0,0,0,0,9,2,0,4,0,1,0,0,1,0,0,1,4,1,1,1,3,0,0,1,0,2,1,0,2,1,1,7,0,4,0,2,2,2,0,1,3,0,1,1
2021,6-10 Years,Liver,57,0,0,2,1,6,0,0,0,0,9,2,0,2,0,1,0,0,1,0,0,1,3,1,1,1,3,0,0,1,0,2,0,0,0,1,1,4,0,3,0,2,2,1,0,1,3,0,1,1
2021,6-10 Years,Heart,35,0,0,0,1,5,0,0,0,0,5,2,0,3,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1,2,0,0,0,3,0,0,0
2021,6-10 Years,Pancreas,18,0,0,0,0,1,0,0,0,0,4,2,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
2021,6-10 Years,Lung,5,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6-10 Years,Intestine,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,11-17 Years,All Donors,346,0,8,8,2,40,6,0,0,3,14,7,1,8,9,2,13,4,13,0,2,10,3,4,7,5,4,4,0,0,6,7,13,0,15,8,6,20,0,4,0,14,42,6,0,8,12,0,7,1
2021,11-17 Years,Kidney,342,0,8,8,2,40,6,0,0,3,14,6,1,8,9,2,12,4,13,0,2,10,3,4,7,5,4,4,0,0,6,7,13,0,14,8,6,20,0,4,0,14,42,6,0,7,12,0,7,1
2021,11-17 Years,Liver,298,0,6,8,2,36,6,0,0,3,12,6,1,7,7,2,10,3,12,0,2,9,3,3,7,5,4,3,0,0,5,6,10,0,13,7,6,16,0,4,0,9,37,4,0,8,10,0,5,1
2021,11-17 Years,Heart,202,0,4,2,1,25,5,0,0,2,9,4,1,7,3,2,9,3,6,0,1,8,0,2,5,3,3,2,0,0,3,4,7,0,9,6,2,8,0,3,0,7,30,2,0,5,6,0,2,1
2021,11-17 Years,Pancreas,153,0,2,4,2,13,5,0,0,2,4,5,1,5,4,2,6,3,4,0,1,3,1,3,3,1,2,2,0,0,3,3,5,0,7,6,5,9,0,4,0,4,11,1,0,5,8,0,3,1
2021,11-17 Years,Lung,133,0,2,2,1,18,2,0,0,3,2,2,1,4,3,1,7,0,6,0,1,6,0,2,4,2,2,1,0,0,0,1,3,0,6,4,2,4,0,3,0,4,19,1,0,4,6,0,3,1
2021,11-17 Years,Intestine,13,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,18-34 Years,All Donors,4083,0,61,105,27,405,90,9,1,62,261,119,9,176,84,28,69,51,74,4,58,107,103,79,22,69,21,26,2,74,22,243,133,0,190,42,43,249,1,45,7,137,430,62,0,84,101,1,81,16
2021,18-34 Years,Kidney,3830,0,60,105,27,380,81,8,1,56,251,111,9,165,82,27,69,49,70,4,48,97,100,74,21,68,18,24,2,74,21,223,128,0,174,42,43,214,1,45,7,131,401,57,0,75,94,1,78,14
2021,18-34 Years,Liver,2383,0,38,66,21,247,44,1,0,26,180,76,3,75,55,18,36,31,58,0,37,69,72,30,18,44,11,20,0,39,14,95,81,0,122,24,31,158,0,25,0,87,225,31,0,41,70,0,49,15
2021,18-34 Years,Heart,1488,0,27,45,11,164,23,0,0,12,111,52,0,48,34,13,35,21,35,0,15,39,46,18,13,31,9,13,0,20,8,49,58,0,81,13,22,66,0,15,0,70,152,16,0,21,41,0,31,10
2021,18-34 Years,Pancreas,656,0,17,21,6,51,9,0,0,11,44,19,0,33,18,5,16,6,14,0,12,24,22,10,7,16,3,3,0,17,2,25,33,0,32,5,4,44,0,3,0,28,41,7,0,13,12,0,14,9
2021,18-34 Years,Lung,849,0,18,23,6,98,16,0,0,10,52,29,0,37,28,5,23,8,14,0,9,19,30,11,9,16,6,9,0,11,1,16,32,0,46,13,11,34,0,11,0,32,103,4,0,11,20,0,25,3
2021,18-34 Years,Intestine,25,0,0,1,0,1,0,0,0,0,5,0,0,3,2,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2021,35-49 Years,All Donors,4994,0,81,103,31,410,85,15,7,79,299,145,14,202,93,54,88,72,92,8,58,148,148,135,30,96,30,38,5,93,19,308,160,4,238,69,74,337,7,62,8,153,496,80,0,116,93,2,92,17
2021,35-49 Years,Kidney,4712,0,78,101,30,381,82,15,5,73,293,140,14,191,87,53,86,72,89,8,53,142,142,127,29,94,29,35,5,93,19,287,150,4,216,68,73,301,7,61,8,143,463,72,0,101,89,2,87,14
2021,35-49 Years,Liver,2306,0,50,60,24,184,43,0,2,38,171,57,8,81,62,16,46,38,61,0,32,57,67,44,21,42,12,30,0,23,12,101,67,0,119,34,36,202,0,22,0,85,199,29,0,42,42,0,37,10
2021,35-49 Years,Heart,899,0,14,30,7,67,15,0,0,8,56,24,0,42,25,5,22,14,24,0,5,34,25,16,8,16,3,16,0,14,3,41,26,0,46,15,17,57,0,10,0,54,77,9,0,12,18,0,20,4
2021,35-49 Years,Pancreas,156,0,2,1,1,7,3,0,0,7,8,4,1,4,3,1,3,0,5,0,2,5,7,2,1,2,2,2,0,6,1,11,7,0,10,4,0,20,0,0,0,5,7,1,0,0,3,0,7,1
2021,35-49 Years,Lung,584,0,10,18,4,55,10,0,0,9,35,17,0,28,16,4,16,9,11,0,11,10,23,7,7,11,2,10,0,6,0,18,16,0,24,18,8,25,0,8,0,24,80,3,0,8,8,0,12,3
2021,35-49 Years,Intestine,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,50-64 Years,All Donors,4590,0,65,83,14,465,91,27,0,63,247,130,11,187,71,58,83,52,58,2,61,195,136,126,20,74,25,56,4,126,27,257,136,3,210,76,66,360,5,66,3,149,341,50,0,91,99,0,89,32
